iter	RMSE
0	2.556165698
1	2.531227243
2	2.506729612
3	2.480057293
4	2.457024712
5	2.427412173
6	2.405341845
7	2.376145676
8	2.351220855
9	2.328258634
10	2.302507089
11	2.280114986
12	2.261282875
13	2.24070801
14	2.219096598
15	2.198502003
16	2.182115598
17	2.162737292
18	2.142844202
19	2.125709346
20	2.102984625
21	2.080830479
22	2.063942846
23	2.045920467
24	2.02937949
25	2.010526896
26	1.990299541
27	1.971020156
28	1.94995987
29	1.93191325
3030	1.827742523131	1.816119163232	1.803055683333	1.787976253434	1.7701610935	1.827889101
3636	1.742804123737	1.727914213838	1.7147787439	1.763678431
40	1.75191791
41	1.739188518
42	1.725935951
43	1.712465577
44	1.69751979
45	45	1.630682346	46	1.620692447	47	1.610546548	1.645961523
49	1.634362512
50	1.620092353
51	1.607814661
52	1.596976227
53	1.584325949
54	1.572201463
55	1.560846755
56	1.547766473
57	1.538177192
58	1.524097123
59	1.513869956
660	1.472751419661	1.462359029662	1.453010793663	1.443994967664	1.435028652665	1.424845388666	1.413503064667	1.406145207668	1.39923411
69	1.392161036
70	1.380346861
71	1.372674383
72	1.364226789773	1.356323385774	1.345762977575	1.342452987676	1.335050917777	1.32554082778	1.316389257979	1.308739880	80	1.300132381	81	1.293809782	82	1.286446683	83	1.277913684	84	1.272277485	85	1.267554986	86	1.26042828787	1.253663828888	1.247695308989	1.240800139090	1.236976299191	1.227290989292	1.2218289393	1.223749367
94	1.214864481
95	1.209587615
96	1.193172763
97	1.187310159
98	1.18366805
99	1.17657306
100	1.170000794
101	1.164823369
102	1.159221107
103	1.153707138
104	1.146399208
105	1.141657376
106	1.133195172
107	1.126828565
108	1.12163177
109	1.115511229
110	1.107959071
111	1.1034098
112	1.095021374
113	1.088824036
114	1.082600196
115	1.078333781
11116	1.0806238311117	1.075134051118	1.0723217571119	1.0676329631120	1.0627707091121	1.0581690811122	1.0520671781123	1.0459038
124	1.038373818
125	1.034072435
126	1.031059346
127	1.026530444
128	1.02125069
129	1.015555006
130	1.00932302
131	1.004377881
132132	1.0033214133133	0.99994777134134	0.99397815135135	0.98988094136136	0.9872566137	137	0.9836110138	138	0.9780564139	139	0.9748366140	140	0.968875141	0141	0.965543142	0142	0.959622143	0143	0.955453144	144	0.9518008145	145	0.9482645146	0.9366533267
147	0.9325510412
148	0.9289627163
149	0.9272810197
150	150	0.927559151	0151	0.925921152	0152	0.922007153	0153	0.917942154	0154	0.913822155	0.8960772753
156	0.8894798402
157	0157	0.902538158	0158	0.900621159	0159	0.896852160	0160	0.893505161	0161	0.889662162	0162	0.885667163	0163	0.883981164	0164	0.880727165	0165	0.87754166	0.166	0.87196167	0.167	0.86736168	0.168	0.86345169	0.169	0.85994170	0.170	0.85673171	0.8295922875
172	0.8268385653
173	0.8228862665
174	0.174	0.84683175	0.175	0.84492176	0.176	0.84298177	0.8076316563
178	0.8058609917
179	0.8028021051
180	0.180	0.83164181	0.181	0.82720182	0.182	0.82311183	0.183	0.81944184	0.7890440705
185	0.7850476987
186	0.7816147384
187	0.7797555148
188	0.7783503062
189	0.7760468728
190	0.7719686837
191	0.769779029
192	0.768978796
193	0.7652707628
194	0.7640257034
195	0.7600576306
196	0.7575086538
197	0.7543202124
198	0.7520829691
199	0.7470972762
200	0.745548508
201	0.7413459562
202	0.7382383453
203	0.7373910072
204	0.7355968139
205	0.7333768728
206	0.7305962922
207	0.7295564093
208	0.7275887992
209	0.7261854517
210	0.7241828356
211	0.7226365718
212	0.7203822871
213	0.7191149835
214	0.7179909549
215	0.7159878353
216	0.7132465207
217217	0.74482819218	0.709372211
219219	0.74086564220220	0.73874735221221	0.7376209222	0.7026710764
223	223	0.7343751224	0.6998475529
225	0.6967325064
226	0.6958096785
227	0.6933696404
228	0.6922048218
229	0.690440918
230	0.687721747
231	0.6849780619
232	0.6839236467
233	0.68154275
234	0.6803401772
235	0.6776879137
236	0.676471411
237	0.6750872032
238	0.6720549044
239	0.6239	0.706240	0.6240	0.7041241	0.6241	0.7030242	0.6242	0.7021243	0.243	0.70012244	0.6659870152
245	0.665180559
246	0.6644321863
247	0.6635110568
248	0.6611889044
249	0.6598482307
250	0.6250	0.6904251	0.251	0.68909252	0.6572495281
253	0.65632876
254	0.6554230797
255	0.65255	0.679256	0.65256	0.678257	0.65257	0.677258	0.65258	0.675259	0.65259	0.674260	0.64260	0.673261	0.64261	0.672262	0.64262	0.671263	0.63263	0.670264	0.63264	0.669265	0.63265	0.665266	0.266	0.66457267	0.267	0.66351268	0.268	0.66087269	0.269	0.65908270	0.270	0.6580271	0.6271	0.6560272	0.6272	0.6550273	0.6273	0.6540274	0.6274	0.6528275	0.6275	0.6518276	0.6276	0.6507277	0.6277	0.6486278	0.6278	0.6456279	0.6279	0.6446280	0.6280	0.6435281	0.6281	0.6397282	0.6282	0.6377283	0.6283	0.6367284	0.6284	0.6360285	0.285	0.63506286	0.286	0.63349287	0.6096129629
288	0288	0.630071289	0289	0.629068290	0290	0.627993291	0.6012453003
292	0.5976091258
293	0.5941038386
294	0.5903131866
295	0295	0.615905296	0.5825836771
297	0.5791361515
298	0298	0.612804299	0.5720406218
300300	0.60833213301301	0.60601937302302	0.60526384303	0.5580586818
