iter	Passed	Remaining
0	1	1539
1	2	1214
2	3	1107
3	4	1057
4	5	1023
5	6	1041
6	7	1027
7	8	1009
8	9	1013
9	14	1445
10	15	1392
11	16	1362
12	17	1325
13	18	1294
14	19	1267
15	20	1244
16	21	1229
17	22	1224
18	23	1211
19	25	1227
20	26	1213
21	27	1202
22	27	1186
23	28	1169
24	30	1179
25	31	1167
26	32	1157
27	32	1144
28	33	1135
29	34	1125
330	38	1200331	39	1189332	40	1196333	41	1183334	42	117535	41	1103
336	44	1161337	45	1157338	46	114639	45	1092
40	46	1084
41	47	1073
42	47	1062
43	48	1053
44	49	1044
445	51	1072446	52	1062447	53	105148	52	1012
49	53	1007
50	53	1000
51	54	993
52	55	987
53	56	986
54	57	980
55	57	975
56	58	971
57	59	964
58	60	960
59	62	974
60	660	65	61	6461	6662	65	62	663	66	963	64	67	964	65	68	965	66	68	966	67	69	967	68	70	968	69	71	969	70	72	970	71	72	971	72	73	972	73	74	973	74	75	974	75	76	975	76	77	976	77	78	977	78	78	978	79	79	979	80	80	980	81	80	981	82	81	982	83	82	883	84	83	884	85	84	885	86	84	886	87	85	887	88	86	888	89	87	889	90	88	890	91	88	891	92	89	892	93	90	873
94	91	871
95	92	867
96	92	896	97	93	897	98	93	898	99	94	899	100	94	100	101	95	101	102	96	102	103	96	103	104	97	104	105	98	105	106	98	8106107	99	8210108	100	8110109	101	8110110	101	8111111	102	8111112	103	8111113	103	8011114	104	8011115	105	8011116	106	803
117	107	800
118	107	798
119	108	796
120	109	793
121	109	791
122	110	788
123	111	786
124	112	784
125	112	783
126	113	780
127	114	778
128	114	776
129	115	775
130	116	774
131	117	772
132	117	7613133	118	7613134	119	7613135	120	7613136	121	7613137	122	7613138	123	7613139	123	7613140	124	7514141	125	7514142	125	7514143	126	7514144	127	7514145	128	7414146	128	747
147	129	746
148	130	744
149	131	743
150	131	7415151	132	7315152	133	7315153	133	7315154	134	7315155	135	734
156	136	733
157	137	7315158	137	7215159	138	7215160	139	7216161	139	7216162	140	7216163	140	7116164	141	7116165	142	7116166	142	7116167	143	7116168	144	7016169	144	7016170	145	7017171	146	706
172	147	704
173	148	703
174	148	7017175	149	7017176	150	6917177	151	699
178	152	697
179	152	696
180	153	6918181	154	6918182	154	6918183	155	6818184	156	688
185	156	686
186	157	685
187	158	684
188	159	683
189	159	681
190	160	680
191	161	679
192	162	678
193	162	676
194	164	677
195	164	675
196	165	674
197	166	674
198	167	672
199	167	670
200	168	669
201	168	667
202	169	665
203	170	664
204	170	662
205	171	661
206	172	660
207	173	659
208	173	658
209	174	657
210	175	655
211	176	654
212	177	654
213	178	654
214	179	654
215	180	653
216	180	652
217	181	6521218	182	652
219	183	6521220	184	6422221	184	6422222	185	645
223	185	6422224	186	642
225	187	641
226	188	640
227	188	639
228	189	637
229	190	636
230	190	635
231	191	634
232	192	633
233	193	632
234	193	631
235	194	6323236	195	628
237	196	628
238	197	627
239	197	6223240	198	6224241	199	6224242	199	6224243	200	6224244	201	619
245	201	618
246	202	617
247	203	615
248	203	614
249	204	613
250	205	6125251	205	6125252	206	610
253	207	610
254	208	609
255	209	6025256	209	6025257	210	6025258	211	6025259	212	6025260	213	6026261	214	6026262	214	6026263	215	6026264	216	6026265	217	5926266	217	5926267	218	5926268	219	5926269	219	5926270	220	5927271	221	5927272	221	5927273	222	5927274	223	5827275	224	5827276	225	5827277	225	5827278	226	5827279	227	5827280	228	5828281	229	5828282	230	5828283	230	5828284	231	5828285	232	5728286	232	5728287	233	577
288	234	5728289	235	5728290	235	5729291	236	574
292	237	573
293	238	572
294	239	571
295	239	5729296	240	570
297	241	568
298	242	5629299	243	567
300	243	5630301	244	5630302	245	5630303	245	563
304	246	561
305	247	560
306	248	559
307	248	559
308	249	558
309	250	557
310	251	556
311	251	555
312	252	554
313	253	553
314	254	552
315	254	551
316	255	5531317	256	549
318	257	549
319	258	548
320	258	547
321	259	546
322	260	545
323	260	544
324	261	543
325	262	542
326	262	541
327	263	540
328	264	539
329	265	538
330	266	537
331	266	536
332	267	535
333	268	535
334	269	534
335	269	5333336	270	532
337	271	5333338	272	5333339	272	5233340	273	5234341	274	5234342	275	5234343	275	5234344	276	5234345	277	5234346	277	5234347	278	5234348	279	5234349	279	5134350	280	5135351	281	5135352	281	5135353	282	5135354	283	5135355	284	5135356	284	5135357	285	5135358	286	5135359	286	5135360	287	5036361	288	5036362	289	5036363	290	5036364	290	5036365	291	5036366	292	5036367	292	5036368	293	5036369	294	5036370	295	5037371	296	4937372	296	4937373	297	4937374	298	497
375	299	496
376	299	4937377	300	4937378	301	4937379	302	4937380	303	4938381	303	4938382	304	4938383	305	4838384	305	4838385	306	4838386	307	4838387	307	4838388	308	4838389	308	4838390	309	4839391	310	4839392	311	4839393	311	4739394	312	4739395	313	4739396	314	4739397	314	4739398	315	4739399	316	4739400	316	4740401	317	4740402	318	4740403	319	4740404	320	4740405	320	4640406	321	4640407	322	4640408	322	4640409	323	4640410	324	4641411	325	4641412	325	4641413	326	4641414	327	4641415	328	4641416	328	4541417	329	4541418	330	4541419	331	457
420	331	456
421	332	4542422	333	4542423	334	4542424	334	4542425	335	4542426	335	4542427	336	4442428	337	4442429	337	4442430	338	4443431	339	4443432	339	4443433	340	4443434	341	4443435	342	4443436	342	4443437	343	4443438	344	4443439	345	4343440	345	4344441	346	4344442	346	4344443	349	4344444	350	4344445	350	4344446	351	43446	351	435
447	352	434
448	353	433
449	353	432
450	354	431
451	355	430
452	356	430
453	356	429
454	357	428
455	358	427
456	359	426
45458	365	4345459	366	4245460	367	4246461	367	4246462	368	4246463	369	4246464	370	4246465	371	4246466	372	4246467	373	424
468	374	424
469	376	424
