type,wc,cnts,ext_dim_lower,ext_dim_upper,ext_dim_mean,length_lower,length_upper,lenght_mean,func_method,curing_days,curing_temp,disp_method,cs,fs
1,0.45,0,10,30,20,0.5,500,250.25,2,28,30,1,52.3,6.7
1,0.45,0.5,10,30,20,0.5,500,250.25,2,28,30,1,62.1,8.4
1,0.2,0.1,0,8,4,0.5,2,1.25,1,28,20,2,101.2,9.1
1,0.2,0.5,0,8,4,0.5,2,1.25,1,28,20,2,116.9,10.6
1,0.2,0.8,0,8,4,0.5,2,1.25,1,28,20,2,74.1,9
1,0.2,0.1,20,30,25,0.5,2,1.25,1,28,20,2,129.2,13.5
1,0.2,0.5,20,30,25,0.5,2,1.25,1,28,20,2,136.4,11.1
1,0.2,0.8,20,30,25,0.5,2,1.25,1,28,20,2,138.1,11.9
1,0.2,0.1,0,8,4,10,30,20,1,28,20,2,116.2,12.9
1,0.2,0.5,0,8,4,10,30,20,1,28,20,2,107.6,11.9
1,0.2,0.8,0,8,4,10,30,20,1,28,20,2,113.2,12.4
1,0.2,0.1,20,30,25,10,30,20,1,28,20,2,124.6,12.6
1,0.2,0.5,20,30,25,10,30,20,1,28,20,2,110.7,12
1,0.2,0.8,20,30,25,10,30,20,1,28,20,2,121.9,12.6
1,0.2,0.1,0,8,4,0.5,2,1.25,3,28,20,2,90.8,11
1,0.2,0.5,0,8,4,0.5,2,1.25,3,28,20,2,152.1,15.3
1,0.2,0.8,0,8,4,0.5,2,1.25,3,28,20,2,93.2,7.8
1,0.2,0.1,0,8,4,0.5,2,1.25,2,28,20,2,94.5,10.3
1,0.2,0.5,0,8,4,0.5,2,1.25,2,28,20,2,134.8,13.4
1,0.2,0.8,0,8,4,0.5,2,1.25,2,28,20,2,82.9,9.7
1,0.2,0.1,0,8,4,10,30,20,3,28,20,2,122.6,9.1
1,0.2,0.5,0,8,4,10,30,20,3,28,20,2,154.4,10.8
1,0.2,0.8,0,8,4,10,30,20,3,28,20,2,120.4,11
1,0.2,0.1,0,8,4,10,30,20,2,28,20,2,129.1,13
